bias,rmse,coverage,size,median,std,n_reps,dgp,n
-0.3097,1.0681,0.64,0.04,0.0123,1.0433,25,dgp6,30
-0.4334,0.5051,0.64,0.0,0.0627,0.2648,25,dgp6,50
-0.4424,0.4997,0.4,0.12,0.0415,0.237,25,dgp6,100
-0.4515,0.4716,0.12,0.04,0.0446,0.1391,25,dgp6,200
-0.4281,0.4455,0.04,0.24,0.0668,0.1256,25,dgp6,500
-0.4051,0.4112,0.0,0.2,0.0888,0.0719,25,dgp6,1000
-0.3699,0.3768,0.0,0.48,0.1223,0.0733,25,dgp6,2000
-0.3261,0.3311,0.0,0.92,0.1854,0.0584,25,dgp6,5000
-0.2471,0.2496,0.0,1.0,0.2559,0.036,25,dgp6,10000
-0.4853,1.7434,0.8,0.0,0.3212,1.7091,25,dgp7,30
-0.3853,0.526,0.8,0.0,0.1266,0.3654,25,dgp7,50
-0.4403,0.4985,0.36,0.08,-0.0311,0.2385,25,dgp7,100
-0.4472,0.4672,0.16,0.0,0.0707,0.1381,25,dgp7,200
-0.4292,0.4464,0.04,0.24,0.0668,0.125,25,dgp7,500
-0.4056,0.4117,0.0,0.2,0.0888,0.0722,25,dgp7,1000
-0.3697,0.3765,0.0,0.44,0.1223,0.0732,25,dgp7,2000
-0.3262,0.3312,0.0,0.92,0.1854,0.0583,25,dgp7,5000
-0.2469,0.2495,0.0,1.0,0.2559,0.0361,25,dgp7,10000
-0.4974,0.6061,0.52,0.04,0.0317,0.3535,25,dgp8,30
-0.4935,0.5719,0.6,0.08,0.1111,0.2949,25,dgp8,50
-0.4836,0.514,0.32,0.0,-0.0075,0.1778,25,dgp8,100
-0.4436,0.4619,0.12,0.04,0.0448,0.1315,25,dgp8,200
-0.463,0.4782,0.0,0.08,0.0535,0.1219,25,dgp8,500
-0.426,0.4351,0.04,0.12,0.0498,0.0904,25,dgp8,1000
-0.3782,0.3822,0.0,0.4,0.1075,0.0568,25,dgp8,2000
-0.3217,0.3262,0.0,0.92,0.1861,0.0556,25,dgp8,5000
-0.2657,0.2687,0.0,1.0,0.2413,0.0412,25,dgp8,10000
