dgp,dgp_label,variant,equation,term,term_label,stage,recovery_rate,n_reps,true_coef,mean_coef,std_coef,coef_bias,coef_rmse
dgp2,Quadratic,sr_pds,y,"('sq', 0, None)",x0^2,pre_lasso,0.926,500,5.0,,,,
dgp2,Quadratic,sr_pds,y,"('sq', 0, None)",x0^2,post_lasso,0.926,500,5.0,4.997002565108832,0.10493471334599237,-0.002997434891168105,0.10497751512077422
dgp2,Quadratic,sr_pds,y,"('sq', 2, None)",x2^2,pre_lasso,0.472,500,3.0,,,,
dgp2,Quadratic,sr_pds,y,"('sq', 2, None)",x2^2,post_lasso,0.472,500,3.0,3.001577460585439,0.057448564264308714,0.001577460585438839,0.057470217660358834
dgp2,Quadratic,sr_pds_cf,y,"('sq', 0, None)",x0^2,pre_lasso,1.0,100,5.0,,,,
dgp2,Quadratic,sr_pds_cf,y,"('sq', 0, None)",x0^2,post_lasso,1.0,100,5.0,,,,
dgp2,Quadratic,sr_pds_cf,y,"('sq', 2, None)",x2^2,pre_lasso,0.94,100,3.0,,,,
dgp2,Quadratic,sr_pds_cf,y,"('sq', 2, None)",x2^2,post_lasso,0.94,100,3.0,,,,
dgp3,Interactions,sr_pds,y,"('int', 0, 1)",x0*x1,pre_lasso,0.866,500,5.0,,,,
dgp3,Interactions,sr_pds,y,"('int', 0, 1)",x0*x1,post_lasso,0.866,500,5.0,4.995157906543583,0.12234063831337189,-0.0048420934564168405,0.12243642289761633
dgp3,Interactions,sr_pds,y,"('int', 3, 4)",x3*x4,pre_lasso,0.354,500,3.0,,,,
dgp3,Interactions,sr_pds,y,"('int', 3, 4)",x3*x4,post_lasso,0.354,500,3.0,2.9955778965249635,0.10520990421949754,-0.004422103475036465,0.10530279647293217
dgp3,Interactions,sr_pds_cf,y,"('int', 0, 1)",x0*x1,pre_lasso,1.0,100,5.0,,,,
dgp3,Interactions,sr_pds_cf,y,"('int', 0, 1)",x0*x1,post_lasso,1.0,100,5.0,,,,
dgp3,Interactions,sr_pds_cf,y,"('int', 3, 4)",x3*x4,pre_lasso,0.93,100,3.0,,,,
dgp3,Interactions,sr_pds_cf,y,"('int', 3, 4)",x3*x4,post_lasso,0.93,100,3.0,,,,
dgp4,Mixed nonlinear,sr_pds,y,"('cubic', 0, 1)",x0^2*x1,pre_lasso,0.928,500,5.0,,,,
dgp4,Mixed nonlinear,sr_pds,y,"('cubic', 0, 1)",x0^2*x1,post_lasso,0.928,500,5.0,4.984097101961623,0.17220942991572266,-0.015902898038376634,0.1729421577230873
dgp4,Mixed nonlinear,sr_pds,y,"('log', 2, None)",log|x2|,pre_lasso,0.358,500,-5.0,,,,
dgp4,Mixed nonlinear,sr_pds,y,"('log', 2, None)",log|x2|,post_lasso,0.358,500,-5.0,-5.010891668044418,0.14993559864787157,-0.01089166804441799,0.15033067609335565
dgp4,Mixed nonlinear,sr_pds,y,"('int', 3, 4)",x3*x4,pre_lasso,0.036,500,3.0,,,,
