dgp,equation,term,term_label,method,pre_lasso,post_lasso,dgp_label
dgp2,y,"('sq', 0, None)",x0^2,PDS-LASSO (poly-2),1.0,1.0,Quadratic
dgp2,y,"('sq', 0, None)",x0^2,PDS-LASSO (poly-3),1.0,1.0,Quadratic
dgp2,y,"('sq', 0, None)",x0^2,SR-PDS,0.926,0.926,Quadratic
dgp2,y,"('sq', 2, None)",x2^2,PDS-LASSO (poly-2),1.0,1.0,Quadratic
dgp2,y,"('sq', 2, None)",x2^2,PDS-LASSO (poly-3),1.0,1.0,Quadratic
dgp2,y,"('sq', 2, None)",x2^2,SR-PDS,0.472,0.472,Quadratic
dgp3,y,"('int', 0, 1)",x0*x1,PDS-LASSO (poly-2),1.0,1.0,Interactions
dgp3,y,"('int', 0, 1)",x0*x1,PDS-LASSO (poly-3),1.0,1.0,Interactions
dgp3,y,"('int', 0, 1)",x0*x1,SR-PDS,0.866,0.866,Interactions
dgp3,y,"('int', 3, 4)",x3*x4,PDS-LASSO (poly-2),1.0,1.0,Interactions
dgp3,y,"('int', 3, 4)",x3*x4,PDS-LASSO (poly-3),1.0,1.0,Interactions
dgp3,y,"('int', 3, 4)",x3*x4,SR-PDS,0.354,0.354,Interactions
dgp4,y,"('log', 2, None)",log|x2|,PDS-LASSO (poly-2),0.0,0.0,Mixed nonlinear
dgp4,y,"('log', 2, None)",log|x2|,PDS-LASSO (poly-3),0.0,0.0,Mixed nonlinear
dgp4,y,"('log', 2, None)",log|x2|,SR-PDS,0.358,0.358,Mixed nonlinear
dgp4,y,"('cubic', 0, 1)",x0^2*x1,PDS-LASSO (poly-2),0.0,0.0,Mixed nonlinear
dgp4,y,"('cubic', 0, 1)",x0^2*x1,PDS-LASSO (poly-3),1.0,1.0,Mixed nonlinear
dgp4,y,"('cubic', 0, 1)",x0^2*x1,SR-PDS,0.928,0.928,Mixed nonlinear
dgp4,y,"('int', 3, 4)",x3*x4,PDS-LASSO (poly-2),1.0,1.0,Mixed nonlinear
dgp4,y,"('int', 3, 4)",x3*x4,PDS-LASSO (poly-3),1.0,1.0,Mixed nonlinear
dgp4,y,"('int', 3, 4)",x3*x4,SR-PDS,0.036,0.036,Mixed nonlinear
dgp5,y,"('log', 2, None)",log|x2|,PDS-LASSO (poly-2),0.0,0.0,NL + linear conf.
dgp5,y,"('log', 2, None)",log|x2|,PDS-LASSO (poly-3),0.0,0.0,NL + linear conf.
dgp5,y,"('log', 2, None)",log|x2|,SR-PDS,0.404,0.404,NL + linear conf.
dgp5,y,"('cubic', 0, 1)",x0^2*x1,PDS-LASSO (poly-2),0.0,0.0,NL + linear conf.
dgp5,y,"('cubic', 0, 1)",x0^2*x1,PDS-LASSO (poly-3),1.0,1.0,NL + linear conf.
dgp5,y,"('cubic', 0, 1)",x0^2*x1,SR-PDS,0.896,0.896,NL + linear conf.
dgp5,y,"('int', 3, 4)",x3*x4,PDS-LASSO (poly-2),1.0,1.0,NL + linear conf.
dgp5,y,"('int', 3, 4)",x3*x4,PDS-LASSO (poly-3),1.0,1.0,NL + linear conf.
dgp5,y,"('int', 3, 4)",x3*x4,SR-PDS,0.084,0.084,NL + linear conf.
dgp6,d,"('int', 3, 4)",x3*x4,PDS-LASSO (poly-2),1.0,1.0,NL + mild NL conf.
dgp6,d,"('int', 3, 4)",x3*x4,PDS-LASSO (poly-3),1.0,1.0,NL + mild NL conf.
dgp6,d,"('int', 3, 4)",x3*x4,SR-PDS,1.0,1.0,NL + mild NL conf.
dgp6,y,"('log', 2, None)",log|x2|,PDS-LASSO (poly-2),0.0,0.0,NL + mild NL conf.
dgp6,y,"('log', 2, None)",log|x2|,PDS-LASSO (poly-3),0.0,0.0,NL + mild NL conf.
dgp6,y,"('log', 2, None)",log|x2|,SR-PDS,0.328,0.328,NL + mild NL conf.
dgp6,y,"('cubic', 0, 1)",x0^2*x1,PDS-LASSO (poly-2),0.0,0.0,NL + mild NL conf.
dgp6,y,"('cubic', 0, 1)",x0^2*x1,PDS-LASSO (poly-3),1.0,1.0,NL + mild NL conf.
dgp6,y,"('cubic', 0, 1)",x0^2*x1,SR-PDS,0.908,0.908,NL + mild NL conf.
dgp6,y,"('int', 3, 4)",x3*x4,PDS-LASSO (poly-2),1.0,1.0,NL + mild NL conf.
dgp6,y,"('int', 3, 4)",x3*x4,PDS-LASSO (poly-3),1.0,1.0,NL + mild NL conf.
dgp6,y,"('int', 3, 4)",x3*x4,SR-PDS,0.102,0.102,NL + mild NL conf.
dgp7,d,"('cubic', 0, 1)",x0^2*x1,PDS-LASSO (poly-2),0.0,0.0,NL + severe NL conf.
dgp7,d,"('cubic', 0, 1)",x0^2*x1,PDS-LASSO (poly-3),1.0,1.0,NL + severe NL conf.
dgp7,d,"('cubic', 0, 1)",x0^2*x1,SR-PDS,0.93,0.93,NL + severe NL conf.
dgp7,d,"('int', 3, 4)",x3*x4,PDS-LASSO (poly-2),1.0,1.0,NL + severe NL conf.
