seed,failed,beta_hat,se,ci_low,ci_high,dgp,estimator,dgp_label,est_label,beta0,sr_pds_variant,epds_variant,pre_lasso_terms_y,pre_lasso_terms_d,post_lasso_terms_y,post_lasso_terms_d,term_coefs_y,term_coefs_d
0,False,0.47160413098626563,0.052239736796689744,0.36921424686475374,0.5739940151077776,dgp1,full_ols,Linear,Full OLS,0.5,,,nan,nan,nan,nan,nan,nan
1,False,0.47659796152120865,0.050549332536597026,0.37752126974947847,0.5756746532929389,dgp1,full_ols,Linear,Full OLS,0.5,,,nan,nan,nan,nan,nan,nan
2,False,0.4731316008038085,0.04796285889173687,0.37912439737600423,0.5671388042316128,dgp1,full_ols,Linear,Full OLS,0.5,,,nan,nan,nan,nan,nan,nan
3,False,0.4702172688821126,0.04850863984940463,0.37514033477727954,0.5652942029869457,dgp1,full_ols,Linear,Full OLS,0.5,,,nan,nan,nan,nan,nan,nan
4,False,0.5367314208019621,0.04811826631398127,0.44241961882655884,0.6310432227773655,dgp1,full_ols,Linear,Full OLS,0.5,,,nan,nan,nan,nan,nan,nan
5,False,0.436953411047913,0.04635068147847218,0.3461060753501075,0.5278007467457185,dgp1,full_ols,Linear,Full OLS,0.5,,,nan,nan,nan,nan,nan,nan
6,False,0.5247955808708739,0.048436339540763776,0.4298603553709769,0.6197308063707708,dgp1,full_ols,Linear,Full OLS,0.5,,,nan,nan,nan,nan,nan,nan
7,False,0.5422342856613511,0.04986907303471702,0.44449090251330575,0.6399776688093964,dgp1,full_ols,Linear,Full OLS,0.5,,,nan,nan,nan,nan,nan,nan
8,False,0.48065338844359534,0.051209753179732864,0.38028227221131894,0.5810245046758717,dgp1,full_ols,Linear,Full OLS,0.5,,,nan,nan,nan,nan,nan,nan
9,False,0.533703069605646,0.04344396460789297,0.4485528989741757,0.6188532402371162,dgp1,full_ols,Linear,Full OLS,0.5,,,nan,nan,nan,nan,nan,nan
0,False,0.49059411252652263,0.04905090978559485,0.3944543293467567,0.5867338957062885,dgp1,pds_lasso,Linear,PDS-LASSO,0.5,,,nan,nan,nan,nan,nan,nan
1,False,0.4801811273556291,0.04606674969252548,0.3898902979582792,0.570471956752979,dgp1,pds_lasso,Linear,PDS-LASSO,0.5,,,nan,nan,nan,nan,nan,nan
2,False,0.45909140805711923,0.048076761700188486,0.3648609551247498,0.5533218609894887,dgp1,pds_lasso,Linear,PDS-LASSO,0.5,,,nan,nan,nan,nan,nan,nan
3,False,0.46828788275586875,0.04362904849525503,0.3827749477051689,0.5538008178065686,dgp1,pds_lasso,Linear,PDS-LASSO,0.5,,,nan,nan,nan,nan,nan,nan
