seed,failed,beta_hat,se,ci_low,ci_high,dgp,estimator,dgp_label,est_label,beta0
0,False,0.6849544549878146,0.42981979419165744,-0.157492341627834,1.5274012516034632,dgp4,full_ols,Mixed nonlinear,Full OLS,0.5
1,False,0.14157601788203844,0.44563256262691964,-0.731863804866724,1.015015840630801,dgp4,full_ols,Mixed nonlinear,Full OLS,0.5
2,False,1.1443730662576967,0.46330690688549087,0.23629152876213466,2.052454603753259,dgp4,full_ols,Mixed nonlinear,Full OLS,0.5
3,False,0.6168814460834171,0.5487971132686101,-0.4587608959230587,1.692523788089893,dgp4,full_ols,Mixed nonlinear,Full OLS,0.5
4,False,0.6973175400918595,0.4265892046383416,-0.13879730099929,1.533432381183009,dgp4,full_ols,Mixed nonlinear,Full OLS,0.5
5,False,0.49812455648669135,0.4221506298638582,-0.3292906780464708,1.3255397910198534,dgp4,full_ols,Mixed nonlinear,Full OLS,0.5
6,False,0.117862748022261,0.35070212895141584,-0.569513424722514,0.8052389207670361,dgp4,full_ols,Mixed nonlinear,Full OLS,0.5
7,False,0.5680773228145176,0.409147477537248,-0.2338517331584885,1.3700063787875236,dgp4,full_ols,Mixed nonlinear,Full OLS,0.5
8,False,1.0599534467779046,0.3939511730956658,0.28780914751039965,1.8320977460454095,dgp4,full_ols,Mixed nonlinear,Full OLS,0.5
9,False,0.4993408589870235,0.40729642359885765,-0.2989601312667375,1.2976418492407844,dgp4,full_ols,Mixed nonlinear,Full OLS,0.5
