seed,failed,beta_hat,se,ci_low,ci_high,dgp,estimator,dgp_label,est_label,beta0
0,False,0.6796738057618346,0.42087141846020476,-0.14523417442016673,1.5045817859438357,dgp5,pds_lasso,NL + linear conf.,PDS-LASSO,0.5
1,False,0.16085061813026247,0.4203006380711539,-0.6629386324891992,0.9846398687497241,dgp5,pds_lasso,NL + linear conf.,PDS-LASSO,0.5
2,False,1.089733329865487,0.4212777381025871,0.26402896318441627,1.9154376965465576,dgp5,pds_lasso,NL + linear conf.,PDS-LASSO,0.5
3,False,0.6148621840934718,0.5277886660395243,-0.4196036013439959,1.6493279695309395,dgp5,pds_lasso,NL + linear conf.,PDS-LASSO,0.5
4,False,0.7022884038777653,0.3991644370897393,-0.08007389281812383,1.4846507005736544,dgp5,pds_lasso,NL + linear conf.,PDS-LASSO,0.5
5,False,0.42627867336866626,0.40396139080209453,-0.36548565260343896,1.2180429993407715,dgp5,pds_lasso,NL + linear conf.,PDS-LASSO,0.5
6,False,0.09041191734921182,0.3442967542688083,-0.5844097210176524,0.7652335557160761,dgp5,pds_lasso,NL + linear conf.,PDS-LASSO,0.5
7,False,0.52839127300413,0.39833279427136975,-0.2523410037677547,1.3091235497760147,dgp5,pds_lasso,NL + linear conf.,PDS-LASSO,0.5
8,False,1.0309589033981021,0.3742354405853463,0.2974574398508234,1.7644603669453809,dgp5,pds_lasso,NL + linear conf.,PDS-LASSO,0.5
9,False,0.4946493207212217,0.3885400299078657,-0.266889137898195,1.2561877793406384,dgp5,pds_lasso,NL + linear conf.,PDS-LASSO,0.5
