seed,failed,beta_hat,se,ci_low,ci_high,sr_pds_variant,epds_variant,pre_lasso_terms_y,pre_lasso_terms_d,post_lasso_terms_y,post_lasso_terms_d,term_coefs_y,term_coefs_d,dgp,estimator,dgp_label,est_label,beta0
0,False,0.6342051811336796,0.2910018262974125,0.06384160159075114,1.204568760676608,sr_pds,sr_pds,"[('log', 2, None)]",[],"[('log', 2, None)]",[],"{('log', 2, None): -5.036977067831957}",{},dgp5,sr_pds,NL + linear conf.,SR-PDS,0.5
1,False,-0.1852566548569264,0.3131452544431456,-0.7990213535654919,0.428508043851639,sr_pds,sr_pds,"[('cubic', 0, 1)]",[],"[('cubic', 0, 1)]",[],"{('cubic', 0, 1): 4.81407069952411}",{},dgp5,sr_pds,NL + linear conf.,SR-PDS,0.5
2,False,0.6843605247934651,0.26215154201771956,0.17054350243873473,1.1981775471481955,sr_pds,sr_pds,"[('cubic', 0, 1), ('int', 3, 4)]",[],"[('cubic', 0, 1), ('int', 3, 4)]",[],"{('cubic', 0, 1): 4.958618431488589, ('int', 3, 4): 2.8534665764286817}",{},dgp5,sr_pds,NL + linear conf.,SR-PDS,0.5
3,False,0.4355826755004724,0.2623259732781384,-0.07857623212467885,0.9497415831256237,sr_pds,sr_pds,"[('cubic', 0, 1)]",[],"[('cubic', 0, 1)]",[],"{('cubic', 0, 1): 5.251444682632565}",{},dgp5,sr_pds,NL + linear conf.,SR-PDS,0.5
4,False,0.44240950669867996,0.12664061079887257,0.19419390953288973,0.6906251038644702,sr_pds,sr_pds,"[('cubic', 0, 1), ('log', 2, None)]",[],"[('cubic', 0, 1), ('log', 2, None)]",[],"{('cubic', 0, 1): 5.11018982997085, ('log', 2, None): -5.098581230247922}",{},dgp5,sr_pds,NL + linear conf.,SR-PDS,0.5
5,False,0.5577368915140996,0.14135774223163766,0.28067571674008973,0.8347980662881094,sr_pds,sr_pds,"[('cubic', 0, 1), ('log', 2, None)]",[],"[('cubic', 0, 1), ('log', 2, None)]",[],"{('cubic', 0, 1): 4.980345612412219, ('log', 2, None): -5.213038837065587}",{},dgp5,sr_pds,NL + linear conf.,SR-PDS,0.5
6,False,0.4530859101432056,0.12681930833646093,0.20452006580374216,0.701651754482669,sr_pds,sr_pds,"[('cubic', 0, 1), ('log', 2, None)]",[],"[('cubic', 0, 1), ('log', 2, None)]",[],"{('cubic', 0, 1): 5.047159376336854, ('log', 2, None): -5.091437117882695}",{},dgp5,sr_pds,NL + linear conf.,SR-PDS,0.5
7,False,0.6284941437865396,0.14175246987261358,0.35065930283621694,0.9063289847368622,sr_pds,sr_pds,"[('cubic', 0, 1), ('log', 2, None)]",[],"[('cubic', 0, 1), ('log', 2, None)]",[],"{('cubic', 0, 1): 4.985091936000911, ('log', 2, None): -5.136504674167217}",{},dgp5,sr_pds,NL + linear conf.,SR-PDS,0.5
8,False,1.1829280163150648,0.28794848230955455,0.6185489909883379,1.7473070416417917,sr_pds,sr_pds,"[('cubic', 0, 1)]",[],"[('cubic', 0, 1)]",[],"{('cubic', 0, 1): 5.226044903902419}",{},dgp5,sr_pds,NL + linear conf.,SR-PDS,0.5
9,False,0.5330748273856477,0.1407202458052203,0.2572631456074159,0.8088865091638795,sr_pds,sr_pds,"[('cubic', 0, 1), ('log', 2, None)]",[],"[('cubic', 0, 1), ('log', 2, None)]",[],"{('cubic', 0, 1): 4.929656814771534, ('log', 2, None): -5.006720672534218}",{},dgp5,sr_pds,NL + linear conf.,SR-PDS,0.5
