seed,failed,beta_hat,se,ci_low,ci_high,dgp,estimator,dgp_label,est_label,beta0
0,False,1.4393050566452892,0.4070023133805317,0.6415805224194471,2.2370295908711313,dgp8,dml_nn,Weak NL conf. (dummies),DML-NN,0.5
1,False,1.6576656844446183,0.44629077849399906,0.7829357585963801,2.5323956102928564,dgp8,dml_nn,Weak NL conf. (dummies),DML-NN,0.5
2,False,1.3104922746720942,0.4033337090163085,0.5199582050001296,2.1010263443440587,dgp8,dml_nn,Weak NL conf. (dummies),DML-NN,0.5
3,False,1.0125092453649025,0.5433730833483711,-0.05250199799790489,2.0775204887277097,dgp8,dml_nn,Weak NL conf. (dummies),DML-NN,0.5
4,False,2.1028359541060495,0.3961433098943968,1.3263950667130318,2.8792768414990673,dgp8,dml_nn,Weak NL conf. (dummies),DML-NN,0.5
5,False,2.0145098375622217,0.40330872622081493,1.2240247341694244,2.804994940955019,dgp8,dml_nn,Weak NL conf. (dummies),DML-NN,0.5
6,False,1.183134842578424,0.392740793575244,0.4133628871709458,1.9529067979859023,dgp8,dml_nn,Weak NL conf. (dummies),DML-NN,0.5
7,False,1.3453710352118484,0.41058079415313103,0.5406326786717116,2.150109391751985,dgp8,dml_nn,Weak NL conf. (dummies),DML-NN,0.5
8,False,0.6555363683311429,0.4062027778107744,-0.14062107617797492,1.4516938128402608,dgp8,dml_nn,Weak NL conf. (dummies),DML-NN,0.5
9,False,0.6162095366058861,0.3714962079937321,-0.11192303106182888,1.344342104273601,dgp8,dml_nn,Weak NL conf. (dummies),DML-NN,0.5
